"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.sourcestring","Input.translation1","Input.translation2","Input.translation3","Input.Winning_Candidate","Answer.chosentranslation.option1","Answer.chosentranslation.option2","Answer.chosentranslation.option3","Answer.chosentranslation.option4","Answer.sourcestring","Approve","Reject"
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","33SA9F9TR0I1GHJBKVS4366RU0MWE9","A582C3UN20MTP","Approved","Mon Jul 15 16:51:46 PDT 2019","Mon Jul 15 16:52:14 PDT 2019","Thu Jul 18 16:52:14 PDT 2019","Thu Jul 18 16:53:08 PDT 2019","","","28","100% (1/1)","100% (1/1)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","true","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","38BQUHLA9ZORNW2MA7PDZKYE05MOMW","A1V82SWG9MABGO","Approved","Tue Jul 16 13:55:01 PDT 2019","Tue Jul 16 13:56:35 PDT 2019","Fri Jul 19 13:56:35 PDT 2019","Fri Jul 19 13:57:08 PDT 2019","","","94","100% (106/106)","100% (106/106)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","true","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","39DD6S19JSZ5ACOGVICB2A09B6NEZM","A1RP234EJ8NH7K","Approved","Tue Jul 16 10:38:36 PDT 2019","Tue Jul 16 10:38:39 PDT 2019","Fri Jul 19 10:38:39 PDT 2019","Fri Jul 19 10:39:08 PDT 2019","","","3","100% (2209/2209)","100% (2209/2209)","100% (1004/1004)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","true","false","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3DEL4X4EL99EBM5SU10KCSCELCTXYA","A3FBKB4PG4PL6H","Approved","Mon Jul 15 12:06:01 PDT 2019","Mon Jul 15 12:06:24 PDT 2019","Thu Jul 18 12:06:24 PDT 2019","Thu Jul 18 12:07:08 PDT 2019","","","23","100% (48/48)","100% (24/24)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","true","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3I33IC7ZWIQCEO4SQ61BJG0B5FEA2X","A1PZ51LBRX8JUO","Approved","Mon Jul 15 20:03:33 PDT 2019","Mon Jul 15 20:03:53 PDT 2019","Thu Jul 18 20:03:53 PDT 2019","Thu Jul 18 20:04:08 PDT 2019","","","20","100% (47/47)","100% (28/28)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","true","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3LJ7UR74RK1T1LD43OP4Y1H9OXCN4N","AFOYN63IZJ32F","Approved","Mon Jul 15 11:40:26 PDT 2019","Mon Jul 15 11:41:32 PDT 2019","Thu Jul 18 11:41:32 PDT 2019","Thu Jul 18 11:42:08 PDT 2019","","","66","100% (4/4)","100% (4/4)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","false","true","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3O6CYIULEGPI5DGXAV797OSUGM9UWD","A30BIO8KST2O0L","Approved","Mon Jul 15 11:56:28 PDT 2019","Mon Jul 15 11:56:34 PDT 2019","Thu Jul 18 11:56:34 PDT 2019","Thu Jul 18 11:57:08 PDT 2019","","","6","100% (158/158)","100% (158/158)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","true","false","false","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3PH3VY7DJOLZRCA7GI6HOG79I6IZW5","A34GH8VX3QZC75","Approved","Mon Jul 15 15:47:08 PDT 2019","Mon Jul 15 15:47:40 PDT 2019","Thu Jul 18 15:47:40 PDT 2019","Thu Jul 18 15:48:08 PDT 2019","","","32","100% (69/69)","100% (21/21)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","true","false","false","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3R3YRB5GRIRLY0DU9QBHPZV3O73AUN","AC8AP945KVJW5","Approved","Tue Jul 16 03:28:24 PDT 2019","Tue Jul 16 03:29:45 PDT 2019","Fri Jul 19 03:29:45 PDT 2019","Fri Jul 19 03:30:08 PDT 2019","","","81","100% (33/33)","100% (33/33)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","false","false","true","""English (Eswatini)"""
"3FBEFUUYRMTYA5P0N68CK9MYE69A6R","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3R5F3LQFV58RM315PWF77MUNF2OZOU","A162CO8K267FU8","Approved","Mon Jul 15 11:53:20 PDT 2019","Mon Jul 15 11:53:22 PDT 2019","Thu Jul 18 11:53:22 PDT 2019","Thu Jul 18 11:54:08 PDT 2019","","","2","100% (3954/3954)","100% (3954/3954)","0% (0/0)","English (Eswatini)","الإنجليزية (سوازيلاند)","الانجليزيه (اسواتيني)","الإنجليزية (الاسواتينية)","الإنجليزية (الاسواتينية)","false","true","false","false","""English (Eswatini)"""
"3Z56AA6EK6OZC6YPK9YHT0HY8NYM6N","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","336YQZE83Y25FMW45STEQEYNJ36M50","A3FBKB4PG4PL6H","Approved","Mon Jul 15 12:07:04 PDT 2019","Mon Jul 15 12:07:20 PDT 2019","Thu Jul 18 12:07:20 PDT 2019","Thu Jul 18 12:08:08 PDT 2019","","","16","100% (48/48)","100% (24/24)","0% (0/0)","Kingdom of Eswatini","مملكة سوازيلاند","مملكه الاسواتيني","مملكة إسواتيني","مملكة إسواتيني","false","false","true","false","""Kingdom of Eswatini"""
"3Z56AA6EK6OZC6YPK9YHT0HY8NYM6N","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","33PPUNGG3BTUJGTLHOWB1HZSQTRRZM","A322VYDIBRR8C","Approved","Mon Jul 15 23:07:59 PDT 2019","Mon Jul 15 23:12:50 PDT 2019","Thu Jul 18 23:12:50 PDT 2019","Thu Jul 18 23:13:10 PDT 2019","","","291","100% (4/4)","100% (3/3)","0% (0/0)","Kingdom of Eswatini","مملكة سوازيلاند","مملكه الاسواتيني","مملكة إسواتيني","مملكة إسواتيني","false","true","false","false","""Kingdom of Eswatini"""
"3Z56AA6EK6OZC6YPK9YHT0HY8NYM6N","3QA1H4GB4TGJ5EKQUZ507DX1TDEM3P","Review Arabic translations for strings","Review the strings and select an appropriate Arabic translation","translation, quality, rating","$0.03","Mon Jul 15 11:37:55 PDT 2019","10","BatchId:3705453;OriginalHitTemplateId:928390917;","10800","259200","Thu Jul 18 11:37:55 PDT 2019","","","3907X2AHF3TJ1SAUFPJ89BP642B2P4","A1M0C9YSNAINNT","Approved","Tue Jul 16 00:35:00 PDT 2019","Tue Jul 16 00:35:04 PDT 2019","Fri Jul 19 00:35:04 PDT 2019","Fri Jul 19 00:35:08 PDT 2019","","","4","100% (332/332)","100% (332/332)","0% (0/0)","Kingdom of Eswatini","مملكة سوازيلاند","مملكه الاسواتيني","مملكة إسواتيني","مملكة إسواتيني","false","true","false","false","""Kingdom of Eswatini"""
