"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.sourcestring","Input.translation1","Input.translation2","Input.translation3","Input.Winning_Candidate","Answer.chosentranslation.option1","Answer.chosentranslation.option2","Answer.chosentranslation.option3","Answer.chosentranslation.option4","Answer.sourcestring","Approve","Reject"
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","33OOO72IVK9UR2V3TZHYQYZP08XCTZ","AHVXS5RTFQD3J","Approved","Wed Jun 19 22:02:11 PDT 2019","Wed Jun 19 22:02:24 PDT 2019","Sat Jun 22 22:02:24 PDT 2019","Thu Jun 20 12:52:46 PDT 2019","","","13","100% (39/39)","100% (39/39)","100% (39/39)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","39RP059MEKH742DD62KRT0YFOGBBM2","A2HLJE78U936QR","Approved","Thu Jun 20 00:23:41 PDT 2019","Thu Jun 20 00:24:04 PDT 2019","Sun Jun 23 00:24:04 PDT 2019","Thu Jun 20 12:52:46 PDT 2019","","","23","100% (13/13)","100% (13/13)","100% (13/13)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3FTOP5WARICGJ74I5PAATRAFTGV0J9","A3IBVMZ2AY6Z0H","Approved","Wed Jun 19 16:16:18 PDT 2019","Wed Jun 19 16:16:31 PDT 2019","Sat Jun 22 16:16:31 PDT 2019","Thu Jun 20 12:52:46 PDT 2019","","","13","100% (138/138)","100% (99/99)","100% (99/99)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3KIBXJ1WD8IWX82JPVCXK76A67COKL","A3A1PY8GLGYRR5","Approved","Wed Jun 19 13:17:58 PDT 2019","Wed Jun 19 13:18:03 PDT 2019","Sat Jun 22 13:18:03 PDT 2019","Thu Jun 20 12:52:46 PDT 2019","","","5","100% (43/43)","100% (43/43)","100% (43/43)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3PQMUDRV7UUVVR1SRXEGNUVB2WUIIJ","A1G2CUJRSL7FV0","Approved","Wed Jun 19 20:37:38 PDT 2019","Wed Jun 19 20:37:54 PDT 2019","Sat Jun 22 20:37:54 PDT 2019","Thu Jun 20 12:52:46 PDT 2019","","","16","100% (58/58)","100% (58/58)","100% (58/58)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3TAYZSBPLOWGEKQM76N24GUHMX52SO","A2XBKYIGJAJ7HT","Approved","Wed Jun 19 17:51:17 PDT 2019","Wed Jun 19 17:52:13 PDT 2019","Sat Jun 22 17:52:13 PDT 2019","Thu Jun 20 12:52:47 PDT 2019","","","56","100% (19/19)","100% (19/19)","100% (19/19)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3VSOLARPKEXNUNQ6201G6VUJ0OC39N","A1LZMIE6CJTCMT","Approved","Wed Jun 19 20:58:58 PDT 2019","Wed Jun 19 20:59:09 PDT 2019","Sat Jun 22 20:59:09 PDT 2019","Thu Jun 20 12:52:47 PDT 2019","","","11","100% (25/25)","100% (25/25)","100% (25/25)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3WJEQKOXABQ5P3MW721XEXQ68KN1AB","AQ66O3UMAR84P","Approved","Wed Jun 19 14:22:39 PDT 2019","Wed Jun 19 14:22:51 PDT 2019","Sat Jun 22 14:22:51 PDT 2019","Thu Jun 20 12:52:47 PDT 2019","","","12","100% (87/87)","100% (87/87)","100% (87/87)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","true","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3WT783CTPE5UVG1MTDQDQ4T3U1UCB6","A3BAKJ841HX2WF","Approved","Wed Jun 19 21:27:50 PDT 2019","Wed Jun 19 21:28:57 PDT 2019","Sat Jun 22 21:28:57 PDT 2019","Thu Jun 20 12:52:47 PDT 2019","","","67","100% (9/9)","100% (9/9)","100% (9/9)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","true","false","false","false","""DCB Flow Control Status"""
"3ZUE82NE0CPGAAPWR1R2IOTGG20F8O","3RPT4N9PTZC1JGXHHKBGYS2DYZDD4E","Review French translations for strings","Review the strings and select an appropriate French (France) translation","translation, quality, rating","$0.05","Wed Jun 19 12:31:53 PDT 2019","10","BatchId:3681248;OriginalHitTemplateId:928390917;","3600","259200","Sat Jun 22 12:31:53 PDT 2019","","","3X73LLYYQ42NDX1ZIV9NSQQDOG7HNZ","A1L43JQMB7HANK","Approved","Wed Jun 19 13:35:59 PDT 2019","Wed Jun 19 13:36:07 PDT 2019","Sat Jun 22 13:36:07 PDT 2019","Thu Jun 20 12:52:47 PDT 2019","","","8","100% (35/35)","100% (35/35)","100% (35/35)","DCB Flow Control Status","État du contrôle de flux du DCB","État du contrôle de flux DCB","Français.","État du contrôle de flux DCB","false","false","false","true","""DCB Flow Control Status"""
